adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,nome_no_dataset,data_no_dataset
False,/9UAcMhSCDJ2OCo5QdPpSERjhMA1.jpg,"[18, 36]",1396,ru,Зеркало,"A dying man in his forties recalls his childhood, his mother, the war and personal moments that tell of and juxtapose pivotal moments in Soviet history with daily life.",3.318,/AttDP5OEsMxtHPPN7Z92p2Ntnmd.jpg,1975-03-07,Mirror,False,8.0,1014,Zerkalo,1975
False,/xmLgdb0yDBXa7Dlo3aCzjhjCkuE.jpg,[18],10238,sv,Viskningar och rop,"As Agnes slowly dies of cancer, her sisters are so immersed in their own psychic pains that they are unable to offer her the support she needs.",1.864,/a1bMgB09YDvvRN9SitCclUYragr.jpg,1972-12-21,Cries and Whispers,False,7.9,730,Viskningar och rop,1972
False,/znLq5iyuMVvHwDdgZf6HyVUNjWB.jpg,"[80, 53]",5511,fr,Le Samouraï,"After carrying out a flawlessly planned hit, Jef Costello, a contract killer with samurai instincts, finds himself caught between a persistent police investigator and a ruthless employer, and not even his armor of fedora and trench coat can protect him.",2.0748,/5Fa6o5nfUPEatQ9b3OwEvdEdR7T.jpg,1967-10-25,Le Samouraï,False,7.8,1167,Le samouraï,1967
False,/kIBBeb94FbNfLSljeFUxUoszflb.jpg,"[18, 10752, 36]",17295,it,La battaglia di Algeri,Tracing the struggle of the Algerian Front de Liberation Nationale to gain freedom from French colonial rule as seen through the eyes of Ali from his start as a petty thief to his rise to prominence in the organisation and capture by the French in 1957. The film traces the rebels' struggle and the increasingly extreme measures taken by the French government to quell the revolt.,1.6899,/2p3AFtOHFvP6OeVMqlnL1zLKOqL.jpg,1966-09-08,The Battle of Algiers,False,7.9,823,La battaglia di Algeri,1966
False,/mI7hfScSb8NAWC09viymxCzWZIq.jpg,"[35, 18, 14]",29264,es,El ángel exterminador,"A formal dinner party starts out normally enough, but after the bourgeois group retire to the host’s music room, they inexplicably find themselves unable to leave.",1.4307,/qqZXHvBFxUpo8Pfbyvgh4SYMiWm.jpg,1962-05-16,The Exterminating Angel,False,7.951,696,El ángel exterminador,1962
False,/jOulpNwtoJP5fF1LJX1ojw6BxBq.jpg,"[18, 10752]",31442,ru,Иваново детство,"In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers.",2.2426,/vmRWSLP1DE9WTta0hfzIafJ0dID.jpg,1962-05-09,Ivan's Childhood,False,7.826,777,Ivanovo detstvo,1962
False,/pcBIabUibUmpOBggWckkjohXtiP.jpg,"[18, 36]",11656,sv,Jungfrukällan,"Devout Christians Töre and Märeta send their only daughter, the virginal Karin, and their foster daughter, the unrepentant Ingeri, to deliver candles to a distant church. On their way through the woods, the girls encounter a group of savage goat herders who brutally rape and murder Karin as Ingeri remains hidden. When the killers unwittingly seek refuge in the farmhouse of Töre and Märeta, Töre plots a fitting revenge.",1.2925,/z70YM3Y4pNYZATMhFMKonngaeMC.jpg,1960-02-08,The Virgin Spring,False,7.85,632,Jungfrukällan,1960
False,/cy7ymUaMEWRoig7LWXpfzaaw2vv.jpg,[18],147,fr,Les Quatre Cents Coups,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",1.8495,/12PuU23kkDLvTd0nb8hMlE3oShB.jpg,1959-06-03,The 400 Blows,False,8.0,2223,Les quatre cents coups,1959
False,/VCebm5PHUChrD0ve24O1dThnxU.jpg,"[18, 28, 12]",1059,ja,隠し砦の三悪人,"In feudal Japan, during a bloody war between clans, two cowardly and greedy peasants, soldiers of a defeated army, stumble upon a mysterious man who guides them to a fortress hidden in the mountains.",2.793,/1RTp3EZrKg7xj1HJK2x4Rqknnnu.jpg,1958-12-28,The Hidden Fortress,False,8.0,655,Kakushi-toride no san-akunin,1958
False,/5Ls2O8NnH8PR21Yqh0u7PU8GPtk.jpg,[18],19426,it,Le notti di Cabiria,"Rome, 1957. A woman, Cabiria, is robbed and left to drown by her boyfriend, Giorgio. Rescued, she resumes her life and tries her best to find happiness in a cynical world. Even when she thinks her struggles are over and she has found happiness and contentment, things may not be what they seem.",1.5213,/xF4oCG3PLNbcrtPZbqB3BtkIbKg.jpg,1957-10-03,Nights of Cabiria,False,7.989,807,Le notti di Cabiria,1957
