genre_ids,id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,nome_no_dataset,data_no_dataset
"[18, 12, 878]",286217,en,The Martian,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",17.1059,2015-09-30,The Martian,7.7,20392,The Martian,2015
"[16, 12, 10751, 35]",269149,en,Zootopia,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",23.1955,2016-02-11,Zootopia,7.75,16900,Zootopia,2016
"[10751, 18]",406997,en,Wonder,"The story of August Pullman – a boy with facial differences – who enters fifth grade, attending a mainstream elementary school for the first time.",8.0112,2017-11-13,Wonder,8.114,8058,Wonder,2017
"[18, 10402]",491625,hi,गल्ली बॉय,A coming-of-age story based on the lives of street rappers in Mumbai.,1.4351,2019-02-14,Gully Boy,7.331,189,Gully Boy,2019
[18],169813,en,Short Term 12,"Grace, a compassionate young supervisor at a foster care facility, helps at-risk teens. But when a new charge dredges up memories of her own troubled past, Grace's tough exterior begins eroding.",1.5321,2013-08-23,Short Term 12,7.76,1343,Short Term 12,2013
"[36, 18, 53, 10752]",205596,en,The Imitation Game,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",17.0364,2014-11-14,The Imitation Game,7.992,17508,The Imitation Game,2014
"[28, 878, 12]",118340,en,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",11.3095,2014-07-30,Guardians of the Galaxy,7.904,28832,Guardians of the Galaxy,2014
"[878, 18]",335984,en,Blade Runner 2049,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",18.3738,2017-10-04,Blade Runner 2049,7.586,14354,Blade Runner 2049,2017
"[10749, 878, 18]",152601,en,Her,"In the not so distant future, Theodore, a lonely writer, purchases a newly developed operating system designed to meet the user's every need. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",13.0952,2013-12-18,Her,7.847,14724,Her,2013
"[10402, 18]",424694,en,Bohemian Rhapsody,"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",10.3935,2018-10-24,Bohemian Rhapsody,7.968,17274,Bohemian Rhapsody,2018
"[37, 18, 12]",281957,en,The Revenant,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",12.1007,2015-12-25,The Revenant,7.536,18644,The Revenant,2015
[18],84892,en,The Perks of Being a Wallflower,"Pittsburgh, Pennsylvania, 1991. High school freshman Charlie is a wallflower, always watching life from the sidelines, until two senior students, Sam and her stepbrother Patrick, become his mentors, helping him discover the joys of friendship, music and love.",6.0696,2012-09-20,The Perks of Being a Wallflower,7.798,10771,The Perks of Being a Wallflower,2012
"[18, 36]",45269,en,The King's Speech,"The King's Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country into war.",7.9826,2010-11-26,The King's Speech,7.735,8974,The King's Speech,2010
